loss,reconstruction_loss,kl_loss,epoch,step,validation_loss
579.9332275390625,1.0365551710128784,578.8966674804688,0,3,
,,,0,3,20.10070037841797
239.2198486328125,1.027655005455017,238.19219970703125,1,7,
,,,1,7,23.702333450317383
154.8572998046875,1.017959713935852,153.83934020996094,2,11,
,,,2,11,29.99956512451172
78.48734283447266,1.0109316110610962,77.47640991210938,3,15,
,,,3,15,33.3069953918457
42.65803527832031,1.0000611543655396,41.65797424316406,4,19,
,,,4,19,27.91454315185547
29.764118194580078,0.9994274377822876,28.764690399169922,5,23,
,,,5,23,22.851112365722656
19.41800880432129,0.9883169531822205,18.429691314697266,6,27,
,,,6,27,18.247983932495117
16.60714340209961,0.9779953360557556,15.62914752960205,7,31,
,,,7,31,14.631247520446777
15.74111270904541,0.9681087732315063,14.773003578186035,8,35,
,,,8,35,12.429235458374023
13.582727432250977,0.9654108285903931,12.617316246032715,9,39,
,,,9,39,10.661856651306152
15.3231201171875,0.9561982154846191,14.366922378540039,10,43,
,,,10,43,9.680468559265137
7.785314559936523,0.9470540881156921,6.838260650634766,11,47,
,,,11,47,8.379684448242188
7.841000080108643,0.9408313035964966,6.9001688957214355,12,51,
,,,12,51,7.450121879577637
6.11161470413208,0.9303256869316101,5.181289196014404,13,55,
,,,13,55,6.727229118347168
5.605362892150879,0.9225080609321594,4.682854652404785,14,59,
,,,14,59,6.175451755523682
5.62723970413208,0.9171709418296814,4.710068702697754,15,63,
,,,15,63,6.154914855957031
5.599359035491943,0.9108959436416626,4.68846321105957,16,67,
,,,16,67,5.835122108459473
4.768003940582275,0.9043411612510681,3.8636627197265625,17,71,
,,,17,71,5.170890808105469
6.588804721832275,0.8948742151260376,5.693930625915527,18,75,
,,,18,75,5.113619804382324
7.418111324310303,0.8882727026939392,6.529838562011719,19,79,
,,,19,79,5.047675132751465
3.890674591064453,0.8812306523323059,3.009443998336792,20,83,
,,,20,83,4.935889720916748
4.297606468200684,0.872743546962738,3.424862861633301,21,87,
,,,21,87,4.610933303833008
3.2871410846710205,0.866245687007904,2.4208953380584717,22,91,
,,,22,91,4.424538612365723
5.118444919586182,0.8583955764770508,4.260049343109131,23,95,
,,,23,95,4.064133167266846
3.9351694583892822,0.8550875782966614,3.0800819396972656,24,99,
,,,24,99,4.553930282592773
3.3613266944885254,0.847905158996582,2.5134215354919434,25,103,
,,,25,103,4.307720184326172
7.425197601318359,0.8405116200447083,6.584685802459717,26,107,
,,,26,107,3.881777286529541
3.568197250366211,0.8315216302871704,2.73667573928833,27,111,
,,,27,111,4.099854946136475
3.0173792839050293,0.8269845843315125,2.190394639968872,28,115,
,,,28,115,3.688837766647339
3.165426731109619,0.8190402388572693,2.346386432647705,29,119,
,,,29,119,3.790128231048584
4.517904758453369,0.8106535077095032,3.7072510719299316,30,123,
,,,30,123,3.429049491882324
2.8698816299438477,0.806749165058136,2.0631325244903564,31,127,
,,,31,127,3.6718063354492188
3.0607194900512695,0.796017587184906,2.2647018432617188,32,131,
,,,32,131,3.350860118865967
3.0509352684020996,0.7929741740226746,2.2579610347747803,33,135,
,,,33,135,2.931983470916748
2.989415168762207,0.7867468595504761,2.2026684284210205,34,139,
,,,34,139,3.0872461795806885
2.4869799613952637,0.7789326906204224,1.7080473899841309,35,143,
,,,35,143,2.8496286869049072
2.907191038131714,0.7716190218925476,2.1355719566345215,36,147,
,,,36,147,2.7934558391571045
2.629657506942749,0.7656529545783997,1.8640046119689941,37,151,
,,,37,151,2.634932279586792
2.6738409996032715,0.7567720413208008,1.9170689582824707,38,155,
,,,38,155,3.1769638061523438
2.555492401123047,0.752355694770813,1.8031365871429443,39,159,
,,,39,159,2.727627754211426
3.2425639629364014,0.7482393383979797,2.4943246841430664,40,163,
,,,40,163,2.7063465118408203
2.3906047344207764,0.7426506876945496,1.647953987121582,41,167,
,,,41,167,2.790398597717285
2.431788206100464,0.7321305274963379,1.699657678604126,42,171,
,,,42,171,2.5864219665527344
2.184539794921875,0.7290710806846619,1.455468773841858,43,175,
,,,43,175,2.552335500717163
2.3608009815216064,0.7217413783073425,1.6390595436096191,44,179,
,,,44,179,2.3514130115509033
2.506054639816284,0.7121815085411072,1.7938730716705322,45,183,
,,,45,183,2.213811159133911
2.5743350982666016,0.7098900675773621,1.8644449710845947,46,187,
,,,46,187,2.3701961040496826
2.1915698051452637,0.7026344537734985,1.4889354705810547,47,191,
,,,47,191,2.2174482345581055
6.149791717529297,0.6963473558425903,5.453444480895996,48,195,
,,,48,195,2.20198655128479
2.7334892749786377,0.6916421055793762,2.0418472290039062,49,199,
,,,49,199,2.5163912773132324
2.8340415954589844,0.687537670135498,2.1465039253234863,50,203,
,,,50,203,2.2058441638946533
2.3645644187927246,0.6785824298858643,1.6859819889068604,51,207,
,,,51,207,2.3763134479522705
1.7052738666534424,0.672444760799408,1.0328291654586792,52,211,
,,,52,211,1.9811862707138062
2.208545684814453,0.6678714752197266,1.5406743288040161,53,215,
,,,53,215,2.1004066467285156
3.188575506210327,0.6651215553283691,2.523453950881958,54,219,
,,,54,219,2.143686532974243
2.0155787467956543,0.655512273311615,1.3600664138793945,55,223,
,,,55,223,2.125124216079712
1.7043652534484863,0.6520612835884094,1.0523040294647217,56,227,
,,,56,227,2.020840883255005
1.7775890827178955,0.6462690234184265,1.1313199996948242,57,231,
,,,57,231,1.8000540733337402
3.4018197059631348,0.6446051001548767,2.7572145462036133,58,235,
,,,58,235,2.0779969692230225
2.0400617122650146,0.6354350447654724,1.4046266078948975,59,239,
,,,59,239,1.8331987857818604
1.8316633701324463,0.6278245449066162,1.20383882522583,60,243,
,,,60,243,1.661260962486267
1.7196526527404785,0.6269239187240601,1.0927287340164185,61,247,
,,,61,247,1.9282910823822021
2.311566114425659,0.6169607043266296,1.6946053504943848,62,251,
,,,62,251,1.8585689067840576
2.017197370529175,0.6125559210777283,1.4046413898468018,63,255,
,,,63,255,1.8032724857330322
2.030721426010132,0.6075998544692993,1.4231215715408325,64,259,
,,,64,259,1.7441760301589966
1.4279303550720215,0.6031979918479919,0.8247323036193848,65,263,
,,,65,263,1.6351251602172852
2.356722593307495,0.5977755188941956,1.7589471340179443,66,267,
,,,66,267,1.5790221691131592
1.4289259910583496,0.5891596674919128,0.8397663831710815,67,271,
,,,67,271,1.495395541191101
1.3159387111663818,0.5870953798294067,0.7288433313369751,68,275,
,,,68,275,1.500062108039856
1.5425770282745361,0.5802785158157349,0.9622985124588013,69,279,
,,,69,279,1.6107871532440186
1.3798601627349854,0.5751864314079285,0.8046736717224121,70,283,
,,,70,283,1.3811606168746948
1.787803053855896,0.5710405111312866,1.2167625427246094,71,287,
,,,71,287,1.4823205471038818
1.4623281955718994,0.5668148398399353,0.8955132961273193,72,291,
,,,72,291,1.3463809490203857
1.399144172668457,0.5582229495048523,0.84092116355896,73,295,
,,,73,295,1.4730989933013916
1.1761256456375122,0.5551279187202454,0.6209977269172668,74,299,
,,,74,299,1.3341388702392578
1.22585129737854,0.549921452999115,0.6759297847747803,75,303,
,,,75,303,1.4028233289718628
2.2189345359802246,0.5460123419761658,1.672922134399414,76,307,
,,,76,307,1.491281270980835
1.2404108047485352,0.5409616231918335,0.6994491815567017,77,311,
,,,77,311,1.3470286130905151
1.2228573560714722,0.5362359285354614,0.6866214275360107,78,315,
,,,78,315,1.1747156381607056
1.4122021198272705,0.530490517616272,0.8817116022109985,79,319,
,,,79,319,1.2140146493911743
1.713683843612671,0.526810348033905,1.1868735551834106,80,323,
,,,80,323,1.4495599269866943
1.2062113285064697,0.5228107571601868,0.6834005117416382,81,327,
,,,81,327,1.3126208782196045
1.1566712856292725,0.516633927822113,0.6400372982025146,82,331,
,,,82,331,1.271298885345459
1.1846132278442383,0.5116771459579468,0.6729360222816467,83,335,
,,,83,335,1.1909658908843994
1.1053922176361084,0.5072259902954102,0.5981662273406982,84,339,
,,,84,339,1.2454488277435303
1.5975561141967773,0.5045363903045654,1.093019723892212,85,343,
,,,85,343,1.0951497554779053
0.9828698635101318,0.5001252293586731,0.48274466395378113,86,347,
,,,86,347,1.0936734676361084
1.3849860429763794,0.4933609068393707,0.8916251063346863,87,351,
,,,87,351,1.2540638446807861
1.022884488105774,0.4877264201641083,0.5351580381393433,88,355,
,,,88,355,1.2314648628234863
1.035469889640808,0.4860258996486664,0.5494439601898193,89,359,
,,,89,359,1.0510060787200928
1.1745944023132324,0.48022565245628357,0.6943687796592712,90,363,
,,,90,363,1.1187330484390259
1.0347139835357666,0.47803226113319397,0.5566816926002502,91,367,
,,,91,367,1.146829605102539
1.488970160484314,0.47461721301078796,1.0143529176712036,92,371,
,,,92,371,1.0863748788833618
0.9729313254356384,0.46697551012039185,0.5059558153152466,93,375,
,,,93,375,1.1331602334976196
0.9002530574798584,0.4651127755641937,0.43514031171798706,94,379,
,,,94,379,1.0525275468826294
0.9924777746200562,0.4601990878582001,0.5322786569595337,95,383,
,,,95,383,1.0057709217071533
0.9752765893936157,0.4557587802410126,0.5195177793502808,96,387,
,,,96,387,1.0611037015914917
0.9116648435592651,0.44984933733940125,0.4618155360221863,97,391,
,,,97,391,1.0297255516052246
0.9255419969558716,0.4458281099796295,0.47971388697624207,98,395,
,,,98,395,1.0811045169830322
